timestamp,open,high,low,close,volume
1765355400,84.28,84.31,84.12,84.21,2875.199
1765357200,84.2,84.31,84.08,84.27,3871.483
1765359000,84.27,84.68,84.26,84.65,8304.759
1765360800,84.64,85.08,84.15,84.2,7855.073
1765362600,84.2,84.2,83.82,83.82,8423.542
1765364400,83.81,84.12,83.75,83.98,4879.151
1765366200,83.97,84.2,83.74,84.17,7234.36
1765368000,84.17,84.25,84.08,84.13,3544.727
1765369800,84.13,84.25,83.93,84.23,2637.037
1765371600,84.22,84.59,84.16,84.45,4808.439
1765373400,84.45,84.47,84.3,84.4,4379.6849999999995
1765375200,84.39,84.47,84.14,84.17,5115.084
1765377000,84.18,84.38,84.0,84.25,4811.869
1765378800,84.24,84.48,84.09,84.36,5417.431
1765380600,84.36,84.42,83.92,84.22,3208.745
1765382400,84.21,85.03,84.05,84.95,6374.902
1765384200,84.95,84.96,84.48,84.64,9748.899
1765386000,84.64,85.12,84.57,84.9,5874.464
1765387800,84.9,84.98,84.65,84.84,6163.798000000001
1765389600,84.84,84.92,84.51,84.63,7531.96
1765391400,84.62,85.64,84.59,84.98,14412.352
1765393200,84.98,85.82,84.34,85.14,33728.324
1765395000,85.15,85.91,85.07,85.67,19033.589
1765396800,85.67,87.09,85.46,86.13,27405.438000000002
1765398600,86.13,86.48,85.21,85.36,11373.517
1765400400,85.35,85.77,84.91,85.44,11605.986
1765402200,85.44,85.45,84.8,84.9,5131.249
1765404000,84.89,85.19,84.19,84.8,10179.309
1765405800,84.81,85.38,84.68,85.27,5087.501
1765407600,85.26,85.41,84.81,84.83,4740.122
1765409400,84.83,84.85,84.26,84.3,3092.214
1765411200,84.3,84.59,84.12,84.17,3208.958
1765413000,84.16,84.16,82.7,82.78,68356.19900000001
1765414800,82.77,82.78,81.53,82.29,20542.13
1765416600,82.29,82.53,81.5,81.55,11822.512999999999
1765418400,81.54,81.67,81.06,81.44,13421.801
1765420200,81.43,81.57,80.8,80.91,16841.31
1765422000,80.91,80.97,80.31,80.66,14250.512
1765423800,80.67,80.82,80.35,80.66,9064.895
1765425600,80.65,81.22,80.32,81.04,10934.087
1765427400,81.04,81.71,81.04,81.59,7878.787
1765429200,81.59,81.6,81.37,81.51,3212.234
1765431000,81.51,81.62,81.36,81.58,2166.136
1765432800,81.58,81.58,81.0,81.08,4645.758
1765434600,81.07,81.53,81.07,81.27,4303.651
1765436400,81.27,81.3,80.94,80.99,3894.913
1765438200,80.99,81.13,80.82,80.89,4375.86
1765440000,80.89,81.0,80.59,80.71,6211.626
1765441800,80.7,81.01,80.46,80.93,5297.939
1765443600,80.93,81.13,80.85,81.1,6614.375
1765445400,81.1,81.25,80.91,80.99,7052.892
1765447200,80.99,81.1,80.73,80.77,8866.181
1765449000,80.78,80.98,80.6,80.88,5884.171
1765450800,80.88,81.09,80.84,81.01,5782.0560000000005
1765452600,81.02,81.08,80.82,80.98,5524.707
1765454400,80.98,81.0,80.62,80.68,6438.893
1765456200,80.68,80.96,80.64,80.7,3289.914
1765458000,80.7,80.84,80.52,80.69,9280.631
1765459800,80.68,81.01,80.51,80.98,8219.231
1765461600,80.99,81.22,80.96,81.09,6921.759
1765463400,81.08,81.5,80.56,80.85,24628.324
1765465200,80.84,81.49,80.59,81.18,8120.076
